Index,Dose,Measure,Time
0, 0.0016591251885369527, 0.380334593889581, 15.0
1, 0.0019607843137254886, 0.5614757980486877, 15.0
2, 0.0030165912518853695, 0.6701076937649826, 15.0
3, 0.004675716440422322, 0.7726645098767857, 15.0
4, 0.0066365007541478125, 0.869164462514846, 15.0
5, 0.008446455505279035, 0.8811324604163475, 15.0
6, 0.0167420814479638, 0.9651725796227073, 15.0
7, 0.029411764705882355, 1.1938761011651033, 15.0
8, 0.04177978883861236, 1.4769456649252042, 15.0
9, 0.08340874811463046, 1.9333690369495993, 15.0
