Index,Dose,Measure,Time
0, 1.0, 8.596491228070178, 10
1, 1.0, 8.128654970760232, 10
2, 1.0, 8.421052631578949, 10
3, 1.0, 1.9298245614035086, 300
4, 1.0, 2.105263157894737, 300
5, 1.0, 2.1637426900584797, 300
6, 1.0, 0.8771929824561404, 1440
7, 1.0, 0.11695906432748512, 1440
8, 1.0, 0.35087719298245545, 1440
9, 0.1, 0.586046511627907, 10
10, 0.1, 0.4558139534883721, 10
11, 0.1, 0.48837209302325574, 10
12, 0.1, 0.19069767441860483, 300
13, 0.1, 0.1441860465116279, 300
14, 0.1, 0.13953488372093023, 300
15, 0.1, 0.032558139534883644, 1440
16, 0.1, 0.04651162790697663, 1440
17, 0.1, 0.02790697674418598, 1440
18, 0.01, 0.07411764705882354, 10
19, 0.01, 0.06352941176470586, 10
20, 0.01, 0.08258823529411764, 10
21, 0.01, 0.06282352941176471, 300
22, 0.01, 0.06282352941176471, 300
23, 0.01, 0.05294117647058825, 300
24, 0.01, 0.05505882352941177, 1440
25, 0.01, 0.0571764705882353, 1440
26, 0.01, 0.0515294117647059, 1440
