Index,Dose,Measure,Time
0, 2.498926804635321, 0.05955406723394512, 5.0
1, 9.979795247989863, 0.21433143258987888, 5.0
2, 19.84737124552734, 0.41949397048730197, 5.0
3, 39.85563442957088, 1.0024116868782909, 5.0
4, 80.81311205315134, 1.5672145522734655, 5.0
5, 198.87553554292623, 3.983447214239467, 5.0
6, 0.2, 4.497131931166349, 15.0
7, 0.2, 1.8355640535372852, 150.0
8, 0.2, 0.940726577437859, 300.0
9, 0.2, 0.35564053537284945, 1440.0
10, 0.2, 0.2409177820267684, 2880.0
11, 0.2, 0.2179732313575528, 4320.0
12, 0.080, 1.428030303030303, 15.0
13, 0.080, 0.6515151515151515, 150.0
14, 0.080, 0.47348484848484823, 300.0
15, 0.080, 0.24621212121212102, 1440.0
16, 0.080, 0.19696969696969704, 2880.0
17, 0.080, 0.17803030303030287, 4320.0
18, 0.040, 0.7611940298507462, 15.0
19, 0.040, 0.4011194029850746, 150.0
20, 0.040, 0.29291044776119407, 300.0
21, 0.040, 0.26119402985074636, 1440.0
22, 0.040, 0.23694029850746268, 2880.0
23, 0.040, 0.19589552238805968, 4320.0
24, 0.020, 0.4024621212121212, 15.0
25, 0.020, 0.25662878787878785, 150.0
26, 0.020, 0.23768939393939395, 300.0
27, 0.020, 0.20075757575757575, 1440.0
28, 0.020, 0.2140151515151515, 2880.0
29, 0.020, 0.20359848484848483, 4320.0
30, 0.010, 0.2518518518518519, 15.0
31, 0.010, 0.232716049382716, 150.0
32, 0.010, 0.2216049382716049, 300.0
33, 0.010, 0.191358024691358, 1440.0
34, 0.010, 0.19753086419753085, 2880.0
35, 0.010, 0.195679012345679, 4320.0
36, 0.0025, 0.2116981132075472, 15.0
37, 0.0025, 0.20773584905660378, 150.0
38, 0.0025, 0.20547169811320756, 300.0
39, 0.0025, 0.20886792452830186, 1440.0
40, 0.0025, 0.20716981132075474, 2880.0
41, 0.0025, 0.20660377358490564, 4320.0


