Index,Dose,Measure,Time
0, 0.0040000000000000036, 0.0007120812182741243, 2880
1, 0.03199999999999997, 0.0007220304568528041, 2880
2, 0.01599999999999996, 0.0028483248730964417, 2880
3, 0, 0.0021319796954314685, 2880
4, 0.05199999999999999, 0.0014397969543147315, 2880
5, 0.055999999999999994, 0.0032178680203045623, 2880
6, 0.10399999999999993, 0.0032349238578680134, 2880
7, 0.10399999999999993, 0.0011029441624365588, 2880
8, 0.2, 0.0018477157360406171, 2880
9, 0.2, 0.0043350253807106776, 2880
10, 0.2, 0.007177664974619302, 2880
11, 0.49999999999999994, 0.008705583756345184, 2880
12, 0.49999999999999994, 0.012258883248730978, 2880
13, 0.49999999999999994, 0.01865482233502539, 2880
14, 0.49999999999999994, 0.019720812182741125, 2880
15, 0.9999999999999998, 0.027715736040609153, 2880
16, 1.0039999999999998, 0.0344684263959391, 2880
17, 1.0039999999999998, 0.03588974619289342, 2880
18, 0.9999999999999998, 0.043705583756345194, 2880
19, 0.9999999999999998, 0.05152284263959392, 2880
20, 0.0078125, 0.0007329842931937114, 2880
21, 0.01953125, 0.0029319371727748594, 2880
22, 0.046875, 0.0014659685863874228, 2880
23, 0.046875, 0.002198952879581148, 2880
24, 0.09765625, 0.001099476439790567, 2880
25, 0.09765625, 0.0029319371727748594, 2880
26, 0.09765625, 0.004764397905759152, 2880
27, 0.1953125, 0.004764397905759152, 2880
28, 0.1953125, 0.005863874345549733, 2880
29, 0.19921875, 0.009895287958115173, 2880
30, 0.49609375, 0.013193717277486902, 2880
31, 0.5078125, 0.016858638743455494, 2880
32, 0.50390625, 0.02052356020942408, 2880
33, 0.50390625, 0.025287958115183237, 2880
34, 1.00390625, 0.04581151832460733, 2880
35, 1.00390625, 0.04801047120418848, 2880
36, 1.00390625, 0.05350785340314136, 2880
37, 1.00390625, 0.060471204188481675, 2880
