Index,Dose,Measure,Time
0, 0.0006342494714587782, 0.0020089285714285712, 2880
1, 0.049471458773784366, 0.0020625, 2880
2, 0.0995771670190275, 0.0021964285714285714, 2880
3, 0.14968287526427063, 0.0032946428571428554, 2880
4, 0.2004228329809725, 0.0038571428571428576, 2880
5, 0.2492600422832981, 0.004901785714285714, 2880
6, 0.2993657505285412, 0.005196428571428571, 2880
7, 0, 0.00034821428571428503, 2880
8, 0.05073995771670192, 0.00048214285714285807, 2880
9, 0.10021141649048626, 0.0007767857142857142, 2880
10, 0.14968287526427063, 0.001526785714285715, 2880
11, 0.19915433403805496, 0.0020625, 2880
12, 0.2505285412262156, 0.0029732142857142856, 2880
13, 0.29873150105708246, 0.0041249999999999985, 2880
